"company_name","product_name","unit_price","quantity","order_date","required_date","shipped_date","freight","contact_name","contact_title"
"Alfreds Futterkiste","Raclette Courdavault",55,15,"1998-01-15","1998-02-12","1998-01-21",69.53,"Maria Anders","Sales Representative"
"Alfreds Futterkiste","Escargots de Bourgogne",13.25,40,"1998-04-09","1998-05-07","1998-04-13",1.21,"Maria Anders","Sales Representative"
"Alfreds Futterkiste","Rössle Sauerkraut",45.6,15,"1997-08-25","1997-09-22","1997-09-02",29.46,"Maria Anders","Sales Representative"
"Alfreds Futterkiste","Flotemysost",21.5,20,"1998-04-09","1998-05-07","1998-04-13",1.21,"Maria Anders","Sales Representative"
"Alfreds Futterkiste","Spegesild",12,2,"1997-08-25","1997-09-22","1997-09-02",29.46,"Maria Anders","Sales Representative"
"Alfreds Futterkiste","Grandma's Boysenberry Spread",25,16,"1998-03-16","1998-04-27","1998-03-24",40.42,"Maria Anders","Sales Representative"
"Alfreds Futterkiste","Rössle Sauerkraut",45.6,2,"1998-03-16","1998-04-27","1998-03-24",40.42,"Maria Anders","Sales Representative"
"Alfreds Futterkiste","Lakkalikööri",18,15,"1997-10-13","1997-11-24","1997-10-21",23.94,"Maria Anders","Sales Representative"
"Alfreds Futterkiste","Original Frankfurter grüne Soße",13,2,"1998-01-15","1998-02-12","1998-01-21",69.53,"Maria Anders","Sales Representative"
"Alfreds Futterkiste","Chartreuse verte",18,21,"1997-08-25","1997-09-22","1997-09-02",29.46,"Maria Anders","Sales Representative"
"Alfreds Futterkiste","Aniseed Syrup",10,6,"1997-10-13","1997-11-24","1997-10-21",23.94,"Maria Anders","Sales Representative"
"Alfreds Futterkiste","Vegie-spread",43.9,20,"1997-10-03","1997-10-31","1997-10-13",61.02,"Maria Anders","Sales Representative"
"Ana Trujillo Emparedados y helados","Gudbrandsdalsost",28.8,1,"1996-09-18","1996-10-16","1996-09-24",1.61,"Ana Trujillo","Owner"
"Ana Trujillo Emparedados y helados","Mozzarella di Giovanni",34.8,10,"1998-03-04","1998-04-01","1998-03-11",39.92,"Ana Trujillo","Owner"
"Ana Trujillo Emparedados y helados","Outback Lager",12,5,"1996-09-18","1996-10-16","1996-09-24",1.61,"Ana Trujillo","Owner"
"Ana Trujillo Emparedados y helados","Camembert Pierrot",34,10,"1997-08-08","1997-09-05","1997-08-14",43.9,"Ana Trujillo","Owner"
"Ana Trujillo Emparedados y helados","Singaporean Hokkien Fried Mee",14,5,"1997-08-08","1997-09-05","1997-08-14",43.9,"Ana Trujillo","Owner"
"Ana Trujillo Emparedados y helados","Mascarpone Fabioli",32,10,"1997-11-28","1997-12-26","1997-12-12",11.99,"Ana Trujillo","Owner"
"Ana Trujillo Emparedados y helados","Queso Cabrales",21,2,"1998-03-04","1998-04-01","1998-03-11",39.92,"Ana Trujillo","Owner"
"Ana Trujillo Emparedados y helados","Konbu",6,10,"1998-03-04","1998-04-01","1998-03-11",39.92,"Ana Trujillo","Owner"
"Ana Trujillo Emparedados y helados","Teatime Chocolate Biscuits",9.2,7,"1998-03-04","1998-04-01","1998-03-11",39.92,"Ana Trujillo","Owner"
