"order_id","order_date"
10308,"1996-09-18"
10365,"1996-11-27"
10383,"1996-12-16"
10355,"1996-11-15"
10384,"1996-12-16"
10280,"1996-08-14"
10278,"1996-08-12"
10360,"1996-11-22"
10297,"1996-09-04"
10265,"1996-07-25"
10326,"1996-10-10"
10362,"1996-11-25"
10340,"1996-10-29"
10331,"1996-10-16"
10389,"1996-12-20"
10289,"1996-08-26"
10259,"1996-07-18"
10370,"1996-12-03"
10254,"1996-07-11"
10290,"1996-08-27"
10391,"1996-12-23"
10363,"1996-11-26"
10311,"1996-09-20"
10364,"1996-11-26"
10390,"1996-12-23"
10382,"1996-12-13"
10368,"1996-11-29"
10351,"1996-11-11"
10263,"1996-07-23"
10258,"1996-07-17"
10386,"1996-12-18"
10347,"1996-11-06"
10378,"1996-12-10"
10327,"1996-10-11"
10264,"1996-07-24"
10396,"1996-12-27"
10342,"1996-10-30"
10337,"1996-10-24"
10267,"1996-07-29"
10352,"1996-11-12"
10328,"1996-10-14"
10366,"1996-11-28"
10303,"1996-09-11"
10268,"1996-07-30"
10253,"1996-07-10"
10250,"1996-07-08"
10395,"1996-12-26"
10257,"1996-07-16"
10394,"1996-12-25"
10375,"1996-12-06"
10380,"1996-12-12"
10373,"1996-12-05"
10335,"1996-10-22"
10309,"1996-09-19"
10298,"1996-09-05"
10321,"1996-10-03"
10318,"1996-10-01"
10315,"1996-09-26"
10325,"1996-10-09"
10323,"1996-10-07"
10371,"1996-12-03"
10358,"1996-11-20"
10350,"1996-11-11"
10343,"1996-10-31"
10284,"1996-08-19"
10279,"1996-08-13"
10381,"1996-12-12"
10357,"1996-11-19"
10330,"1996-10-16"
10296,"1996-09-03"
10283,"1996-08-16"
10317,"1996-09-30"
10307,"1996-09-17"
10300,"1996-09-09"
10275,"1996-08-07"
10376,"1996-12-09"
10339,"1996-10-28"
10332,"1996-10-17"
10277,"1996-08-09"
10338,"1996-10-25"
10305,"1996-09-13"
10260,"1996-07-19"
10354,"1996-11-14"
10322,"1996-10-04"
10392,"1996-12-24"
10353,"1996-11-13"
10397,"1996-12-27"
10336,"1996-10-23"
10379,"1996-12-11"
10291,"1996-08-27"
10261,"1996-07-19"
10372,"1996-12-04"
10361,"1996-11-22"
10345,"1996-11-04"
10313,"1996-09-24"
10286,"1996-08-21"
10285,"1996-08-20"
10273,"1996-08-05"
10346,"1996-11-05"
10316,"1996-09-27"
10314,"1996-09-25"
10294,"1996-08-30"
10272,"1996-08-02"
10262,"1996-07-22"
10288,"1996-08-23"
10299,"1996-09-06"
10287,"1996-08-22"
10255,"1996-07-12"
10306,"1996-09-16"
10282,"1996-08-15"
10281,"1996-08-14"
10387,"1996-12-18"
10398,"1996-12-30"
10393,"1996-12-25"
10324,"1996-10-08"
10388,"1996-12-19"
10377,"1996-12-09"
10359,"1996-11-21"
10341,"1996-10-29"
10385,"1996-12-17"
10369,"1996-12-02"
10349,"1996-11-08"
10329,"1996-10-15"
10271,"1996-08-01"
10302,"1996-09-10"
10252,"1996-07-09"
10310,"1996-09-20"
10249,"1996-07-05"
10319,"1996-10-02"
10304,"1996-09-12"
10293,"1996-08-29"
10276,"1996-08-08"
10292,"1996-08-28"
10399,"1996-12-31"
10367,"1996-11-28"
10334,"1996-10-21"
10251,"1996-07-08"
10295,"1996-09-02"
10274,"1996-08-06"
10248,"1996-07-04"
10356,"1996-11-18"
10348,"1996-11-07"
10312,"1996-09-23"
10301,"1996-09-09"
10333,"1996-10-18"
10320,"1996-10-03"
10270,"1996-08-01"
10266,"1996-07-26"
10256,"1996-07-15"
10344,"1996-11-01"
10269,"1996-07-31"
10374,"1996-12-05"
