"customer_id","company_name","contact_name","address","order_date","ship_city","ship_country","phone"
"DRACD","Drachenblut Delikatessen","Sven Ottlieb","Walserweg 21","1996-11-26","Aachen","Germany","0241-039123"
"DRACD","Drachenblut Delikatessen","Sven Ottlieb","Walserweg 21","1996-12-23","Aachen","Germany","0241-039123"
"RANCH","Rancho grande","Sergio Gutiérrez","Av. del Libertador 900","1997-02-17","Buenos Aires","Argentina","(1) 123-5555"
"RANCH","Rancho grande","Sergio Gutiérrez","Av. del Libertador 900","1997-10-24","Buenos Aires","Argentina","(1) 123-5555"
"DRACD","Drachenblut Delikatessen","Sven Ottlieb","Walserweg 21","1997-12-25","Aachen","Germany","0241-039123"
"DRACD","Drachenblut Delikatessen","Sven Ottlieb","Walserweg 21","1998-01-09","Aachen","Germany","0241-039123"
"RANCH","Rancho grande","Sergio Gutiérrez","Av. del Libertador 900","1998-01-13","Buenos Aires","Argentina","(1) 123-5555"
"RANCH","Rancho grande","Sergio Gutiérrez","Av. del Libertador 900","1998-02-27","Buenos Aires","Argentina","(1) 123-5555"
"RANCH","Rancho grande","Sergio Gutiérrez","Av. del Libertador 900","1998-04-13","Buenos Aires","Argentina","(1) 123-5555"
"DRACD","Drachenblut Delikatessen","Sven Ottlieb","Walserweg 21","1998-04-20","Aachen","Germany","0241-039123"
"DRACD","Drachenblut Delikatessen","Sven Ottlieb","Walserweg 21","1998-05-04","Aachen","Germany","0241-039123"
